id,reputationIdx,repRaceMask_1,repRaceMask_2,repRaceMask_3,repRaceMask_4,repClassMask_1,repClassMask_2,repClassMask_3,repClassMask_4,repBase_1,repBase_2,repBase_3,repBase_4,repFlags_1,repFlags_2,repFlags_3,repFlags_4,parentFactionId,name_enUS,name_koKR,name_frFR,name_deDE,name_zhCN,name_ruRU,name_esES,name_ptPT,nameMask,description_enUS,description_koKR,description_frFR,description_deDE,description_zhCN,description_ruRU,description_esES,description_ptPT,descriptionMask
1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Human",,,"SPIELER, Mensch",人类(玩家),"ИГРОК, Человек","JUGADOR, Humano","JOGADOR, Humano",4128894,,,,,,,,,4128876
2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Orc",,,"SPIELER, Orc",兽人(玩家),"ИГРОК, Орк","JUGADOR, Orco","JOGADOR, Orco",4128894,,,,,,,,,4128876
3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Dwarf",,,"SPIELER, Zwerg",矮人(玩家),"ИГРОК, Дворф","JUGADOR, Enano","JOGADOR, Anão",4128894,,,,,,,,,4128876
4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Night Elf",,,"SPIELER, Nachtelf",暗夜精灵(玩家),"ИГРОК, Ночной Эльф","JUGADOR, Elfo de la Noche","JOGADOR, Elfo Noturno",4128894,,,,,,,,,4128876
5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Undead",,,"SPIELER, Untoter",亡灵(玩家),"ИГРОК, Нежить","JUGADOR, No-muerto","JOGADOR, Não-morto",4128894,,,,,,,,,4128878
6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Tauren ",,,"SPIELER, Tauren",牛头人(玩家),"ИГРОК, Таурен","JUGADOR, Tauren","JOGADOR, Tauren",4128894,,,,,,,,,4128876
7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creature,,,Kreatur,生物,Существо,Criatura,Criatura,8323198,,,,,,,,,4128876
8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Gnome",,,"SPIELER, Gnom",侏儒(玩家),"ИГРОК, Гном","JUGADOR, Gnomo","JOGADOR, Gnomo",4128894,,,,,,,,,4128876
9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Troll",,,"SPIELER, Troll",巨魔(玩家),"ИГРОК, Тролль","JUGADOR, Trol","JOGADOR, Troll",4128894,,,,,,,,,4128876
14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monster,,,Monster,怪物,Монстр,Monstruo,Monstro,8323198,,,,,,,,,4128876
