itemID,entryLength,itemClassID,itemSubClassID,name1,name2,name3,name4,itemDisplayID,qualityID,typeBinFlag,buyPrice,sellPrice,inventorySlotID,classBinFlag,raceBinFlag,itemLevel,requiredLevel,requiredSkillID,requiredSkillLevel,requiredSpellID,requiredRankID,requiredUnknownRank,requiredFactionID,requiredFactionLevel,stackUnique,stackAmount,containerSlots,stat1ID,stat1Value,stat2ID,stat2Value,stat3ID,stat3Value,stat4ID,stat4Value,stat5ID,stat5Value,stat6ID,stat6Value,stat7ID,stat7Value,stat8ID,stat8Value,stat9ID,stat9Value,stat10ID,stat10Value,damage1Min,damage1Max,damage1TypeID,damage2Min,damage2Max,damage2TypeID,damage3Min,damage3Max,damage3TypeID,damage4Min,damage4Max,damage4TypeID,damage5Min,damage5Max,damage5TypeID,resistPhysical,resistHoly,resistFire,resistNature,resistFrost,resistShadow,resistArcane,weaponDelay,ammoType,rangeModifier,spell1ID,spell1TriggerID,spell1Charges,spell1Cooldown,spell1CategoryID,spell1CategoryCooldown,spell2ID,spell2TriggerID,spell2Charges,spell2Cooldown,spell2CategoryID,spell2CategoryCooldown,spell3ID,spell3TriggerID,spell3Charges,spell3Cooldown,spell3CategoryID,spell3CategoryCooldown,spell4ID,spell4TriggerID,spell4Charges,spell4Cooldown,spell4CategoryID,spell4CategoryCooldown,spell5ID,spell5TriggerID,spell5Charges,spell5Cooldown,spell5CategoryID,spell5CategoryCooldown,bondID,description,bookTextID,bookPages,bookStationaryID,beginQuestID,lockPickTalent,materialID,sheathID,randomPropertyID,blockValue,itemSetID,durabilityValue,itemAreaID,itemMapID,bagFamily
1,565,4,1,Spring White Rabbit Headband,Spring White Rabbit Headband,Spring White Rabbit Headband,Spring White Rabbit Headband,68597,1,0,7922,0,1,-1,-1,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,1,,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2,602,15,4,Ebon Gryphon,Ebon Gryphon,Ebon Gryphon,Ebon Gryphon,15798,1,64,0,0,0,-1,-1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,46499,0,0,0,330,3000,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,1,"They love lions in Stormwind, and the gryphon is half lion. Of course they might not like which half.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,606,15,4,Snowy Gryphon,Snowy Gryphon,Snowy Gryphon,Snowy Gryphon,15798,1,64,0,0,0,-1,-1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,46499,0,0,0,330,3000,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,1,"They love lions in Stormwind, and the gryphon is half lion. Of course they might not like which half.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,597,15,4,Armored Snowy Gryphon,Armored Snowy Gryphon,Armored Snowy Gryphon,Armored Snowy Gryphon,15798,1,64,0,0,0,-1,-1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,46499,0,0,0,330,3000,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,1,"The Horde had dragons, we had the gryphons. We won that war.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,593,15,4,Armored Ebon Gryphon,Armored Ebon Gryphon,Armored Ebon Gryphon,Armored Ebon Gryphon,15798,1,64,0,0,0,-1,-1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,46499,0,0,0,330,3000,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,1,"The Horde had dragons, we had the gryphons. We won that war.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,601,15,4,Argent Hippogryph,Argent Hippogryph,Argent Hippogryph,Argent Hippogryph,47934,1,64,0,0,0,-1,-1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,46499,0,0,0,330,3000,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,1,Hippogryphs will partner with only the bravest and most battle-tested champions.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,695,4,1,The Greatest Wizzard Hat,The Greatest Wizzard Hat,The Greatest Wizzard Hat,The Greatest Wizzard Hat,68296,1,0,7922,0,1,-1,-1,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,1,"This hat doesn't just say you're a wizzard, it screams it—usually when you're trying to sneak away. Warning: may attract unwanted heroic quests.",0,0,0,0,0,7,0,0,0,0,0,0,0,0
8,695,4,1,The Greatest Wizzard Hat,The Greatest Wizzard Hat,The Greatest Wizzard Hat,The Greatest Wizzard Hat,68382,1,0,7922,1584,1,-1,-1,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,38,0,0,0,0,0,0,0,0,0.0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,1,"This hat doesn't just say you're a wizzard, it screams it—usually when you're trying to sneak away. Warning: may attract unwanted heroic quests.",0,0,0,0,0,7,0,0,0,0,45,0,0,0
9,561,4,1,Spring Pink Rabbit Headband,Spring Pink Rabbit Headband,Spring Pink Rabbit Headband,Spring Pink Rabbit Headband,68598,1,0,7922,0,1,-1,-1,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,,0,0,0,0,0,7,0,0,0,0,0,0,0,0
10,686,2,10,Gamemaster's Broom of Doom,Gamemaster's Broom of Doom,Gamemaster's Broom of Doom,Gamemaster's Broom of Doom,3509,1,0,230,46,17,-1,-1,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.0,1944.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,3500,0,0.0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,Some may question your right to destroy ten billion people. Those who understand realise that you have no right to let them live.,0,0,0,0,0,2,2,0,0,0,35,0,0,0
